run,seed,model_name,set,accuracy,precision,recall,f1,auc,tp,fp,tn,fn
0,0,GradientBoost,TEST,0.8666666666666667,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.9343365253077975,14,5,38,3
0,0,GradientBoost,TRAIN,0.8828451882845189,0.84,0.7974683544303798,0.8181818181818182,0.9604430379746836,63,12,148,16
1,1,GradientBoost,TEST,0.8666666666666667,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.9302325581395349,14,5,38,3
1,1,GradientBoost,TRAIN,0.8535564853556485,0.7972972972972973,0.7468354430379747,0.7712418300653595,0.9541930379746835,59,15,145,20
2,2,GradientBoost,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9302325581395349,14,4,39,3
2,2,GradientBoost,TRAIN,0.899581589958159,0.8666666666666667,0.8227848101265823,0.8441558441558441,0.9644778481012659,65,10,150,14
3,3,GradientBoost,TEST,0.9,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.9274965800273598,14,3,40,3
3,3,GradientBoost,TRAIN,0.8577405857740585,0.8169014084507042,0.7341772151898734,0.7733333333333333,0.9590981012658227,58,13,147,21
4,4,GradientBoost,TEST,0.8666666666666667,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.9288645690834473,14,5,38,3
4,4,GradientBoost,TRAIN,0.8661087866108786,0.821917808219178,0.759493670886076,0.7894736842105263,0.9554588607594937,60,13,147,19
5,5,GradientBoost,TEST,0.85,0.7,0.8235294117647058,0.7567567567567568,0.9220246238030095,14,6,37,3
5,5,GradientBoost,TRAIN,0.8786610878661087,0.8378378378378378,0.7848101265822784,0.8104575163398693,0.9559335443037975,62,12,148,17
6,6,GradientBoost,TEST,0.8666666666666667,0.7142857142857143,0.8823529411764706,0.7894736842105263,0.930232558139535,15,6,37,2
6,6,GradientBoost,TRAIN,0.8828451882845189,0.8311688311688312,0.810126582278481,0.8205128205128205,0.9640822784810127,64,13,147,15
7,7,GradientBoost,TEST,0.9,0.7894736842105263,0.8823529411764706,0.8333333333333334,0.9302325581395349,15,4,39,2
7,7,GradientBoost,TRAIN,0.8786610878661087,0.8571428571428571,0.759493670886076,0.8053691275167785,0.9588607594936709,60,10,150,19
8,8,GradientBoost,TEST,0.8666666666666667,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.9425444596443229,14,5,38,3
8,8,GradientBoost,TRAIN,0.8702928870292888,0.8157894736842105,0.7848101265822784,0.8,0.9561708860759494,62,14,146,17
9,9,GradientBoost,TEST,0.85,0.7,0.8235294117647058,0.7567567567567568,0.9343365253077974,14,6,37,3
9,9,GradientBoost,TRAIN,0.895397489539749,0.8375,0.8481012658227848,0.8427672955974843,0.9630537974683544,67,13,147,12
10,10,GradientBoost,TEST,0.8666666666666667,0.7142857142857143,0.8823529411764706,0.7894736842105263,0.93296853625171,15,6,37,2
10,10,GradientBoost,TRAIN,0.9037656903765691,0.8783783783783784,0.8227848101265823,0.8496732026143791,0.9682753164556962,65,9,151,14
11,11,GradientBoost,TEST,0.9,0.7894736842105263,0.8823529411764706,0.8333333333333334,0.945280437756498,15,4,39,2
11,11,GradientBoost,TRAIN,0.891213389121339,0.8732394366197183,0.7848101265822784,0.8266666666666667,0.9609177215189872,62,9,151,17
12,12,GradientBoost,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.93296853625171,14,4,39,3
12,12,GradientBoost,TRAIN,0.8828451882845189,0.8493150684931506,0.7848101265822784,0.8157894736842105,0.9520569620253164,62,11,149,17
13,13,GradientBoost,TEST,0.8666666666666667,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.935704514363885,14,5,38,3
13,13,GradientBoost,TRAIN,0.8744769874476988,0.8356164383561644,0.7721518987341772,0.8026315789473685,0.95625,61,12,148,18
14,14,GradientBoost,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9247606019151847,14,4,39,3
14,14,GradientBoost,TRAIN,0.8786610878661087,0.8787878787878788,0.7341772151898734,0.8,0.9588607594936709,58,8,152,21
15,15,GradientBoost,TEST,0.8666666666666667,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.9452804377564981,14,5,38,3
15,15,GradientBoost,TRAIN,0.8786610878661087,0.8125,0.8227848101265823,0.8176100628930818,0.9505537974683543,65,15,145,14
16,16,GradientBoost,TEST,0.8666666666666667,0.7142857142857143,0.8823529411764706,0.7894736842105263,0.9425444596443229,15,6,37,2
16,16,GradientBoost,TRAIN,0.895397489539749,0.8648648648648649,0.810126582278481,0.8366013071895425,0.964873417721519,64,10,150,15
17,17,GradientBoost,TEST,0.8666666666666667,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.9316005471956224,14,5,38,3
17,17,GradientBoost,TRAIN,0.8870292887029289,0.8611111111111112,0.7848101265822784,0.8211920529801324,0.9614715189873417,62,10,150,17
18,18,GradientBoost,TEST,0.8333333333333334,0.6666666666666666,0.8235294117647058,0.7368421052631579,0.9411764705882353,14,7,36,3
18,18,GradientBoost,TRAIN,0.895397489539749,0.8461538461538461,0.8354430379746836,0.8407643312101911,0.9609177215189872,66,12,148,13
19,19,GradientBoost,TEST,0.8833333333333333,0.75,0.8823529411764706,0.8108108108108109,0.9274965800273598,15,5,38,2
19,19,GradientBoost,TRAIN,0.8744769874476988,0.8450704225352113,0.759493670886076,0.8,0.9553006329113924,60,11,149,19
20,20,GradientBoost,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9357045143638851,14,4,39,3
20,20,GradientBoost,TRAIN,0.8702928870292888,0.8428571428571429,0.7468354430379747,0.7919463087248322,0.9576740506329113,59,11,149,20
21,21,GradientBoost,TEST,0.8833333333333333,0.75,0.8823529411764706,0.8108108108108109,0.945280437756498,15,5,38,2
21,21,GradientBoost,TRAIN,0.891213389121339,0.863013698630137,0.7974683544303798,0.8289473684210527,0.9617879746835442,63,10,150,16
22,22,GradientBoost,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.9302325581395349,13,5,38,4
22,22,GradientBoost,TRAIN,0.8744769874476988,0.855072463768116,0.7468354430379747,0.7972972972972973,0.960126582278481,59,10,150,20
23,23,GradientBoost,TEST,0.9,0.7894736842105263,0.8823529411764706,0.8333333333333334,0.9274965800273598,15,4,39,2
23,23,GradientBoost,TRAIN,0.8870292887029289,0.8611111111111112,0.7848101265822784,0.8211920529801324,0.9689082278481014,62,10,150,17
24,24,GradientBoost,TEST,0.8666666666666667,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.905608755129959,14,5,38,3
24,24,GradientBoost,TRAIN,0.8577405857740585,0.8169014084507042,0.7341772151898734,0.7733333333333333,0.9523734177215191,58,13,147,21
25,25,GradientBoost,TEST,0.8666666666666667,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.9302325581395349,14,5,38,3
25,25,GradientBoost,TRAIN,0.8577405857740585,0.8082191780821918,0.7468354430379747,0.7763157894736842,0.9507120253164557,59,14,146,20
26,26,GradientBoost,TEST,0.9,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.9493844049247606,14,3,40,3
26,26,GradientBoost,TRAIN,0.8786610878661087,0.8787878787878788,0.7341772151898734,0.8,0.9557753164556961,58,8,152,21
27,27,GradientBoost,TEST,0.8666666666666667,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.9247606019151846,14,5,38,3
27,27,GradientBoost,TRAIN,0.891213389121339,0.863013698630137,0.7974683544303798,0.8289473684210527,0.9621044303797468,63,10,150,16
28,28,GradientBoost,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.9343365253077975,13,5,38,4
28,28,GradientBoost,TRAIN,0.8744769874476988,0.8450704225352113,0.759493670886076,0.8,0.9621044303797468,60,11,149,19
29,29,GradientBoost,TEST,0.8833333333333333,0.75,0.8823529411764706,0.8108108108108109,0.9288645690834474,15,5,38,2
29,29,GradientBoost,TRAIN,0.891213389121339,0.863013698630137,0.7974683544303798,0.8289473684210527,0.965743670886076,63,10,150,16
30,30,GradientBoost,TEST,0.8666666666666667,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.9220246238030095,14,5,38,3
30,30,GradientBoost,TRAIN,0.8619246861924686,0.8285714285714286,0.7341772151898734,0.7785234899328859,0.9530854430379747,58,12,148,21
